Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration in min,No of Stops,Days,Payment for extra baggage
Jet Airways,9/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,5/10/2019 9:20,12h 10m,1 stop,In-flight meal included,9663,730,1,Sunday,No
IndiGo,24/04/2019,Kolkata,Banglore,CCU ? BLR,17:15,19:50,2h 35m,non-stop,No info,4804,155,0,Monday,No
Air India,3/3/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,3/4/2019 19:15,26h 35m,2 stops,No info,14011,1595,2,Tuesday,No
SpiceJet,15/04/2019,Delhi,Cochin,DEL ? PNQ ? COK,8:45,13:15,4h 30m,1 stop,No info,5830,270,1,Wednesday,No
Jet Airways,12/6/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,6/13/2019 12:35,22h 35m,1 stop,In-flight meal included,10262,1355,1,Thursday,No
Air India,12/6/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,20:15,6/13/2019 19:15,23h,2 stops,No info,13381,1380,2,Friday,No
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,5/28/2019 12:35,20h 35m,1 stop,In-flight meal included,12898,1235,1,Saturday,No
GoAir,6/3/2019,Delhi,Cochin,DEL ? BOM ? COK,14:10,19:20,5h 10m,1 stop,No info,19495,310,1,Sunday,No
Air India,21/03/2019,Banglore,New Delhi,BLR ? COK ? DEL,22:00,3/19/2019 13:20,15h 20m,1 stop,No info,6955,920,1,Monday,Yes
IndiGo,3/4/2019,Banglore,Delhi,BLR ? DEL,4:00,6:50,2h 50m,non-stop,No info,3943,170,0,Tuesday,Yes
IndiGo,1/5/2019,Banglore,Delhi,BLR ? DEL,18:55,21:50,2h 55m,non-stop,No info,4823,175,0,Wednesday,Yes
Jet Airways,6/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,5/7/2019 8:15,13h 20m,1 stop,In-flight meal included,7757,800,1,Thursday,Yes
Jet Airways,9/6/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,21:25,6/10/2019 12:35,15h 10m,2 stops,No info,13292,910,2,Friday,Yes
IndiGo,1/6/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,6/2/2019 3:35,5h 45m,1 stop,No info,8238,345,1,Saturday,Yes
GoAir,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,7:00,12:55,5h 55m,1 stop,No info,7682,355,1,Sunday,Yes
Vistara,18/06/2019,Banglore,Delhi,BLR ? DEL,9:45,12:35,2h 50m,non-stop,No info,4668,170,0,Monday,Yes
Vistara,15/06/2019,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,non-stop,No info,3687,135,0,Tuesday,Yes
Vistara,18/06/2019,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,non-stop,No info,3687,135,0,Wednesday,Yes
Air India,1/5/2019,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,9:50,23:15,13h 25m,2 stops,No info,13227,805,2,Thursday,Yes
IndiGo,6/4/2019,Banglore,Delhi,BLR ? DEL,4:00,6:50,2h 50m,non-stop,No info,4423,170,0,Friday,Yes
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,6/16/2019 12:35,22h,2 stops,In-flight meal included,10919,1320,2,Saturday,Yes
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,7:05,12:35,5h 30m,1 stop,In-flight meal included,12373,330,1,Sunday,Yes
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,5894,625,1,Monday,Yes
SpiceJet,21/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,15:05,20:20,5h 15m,1 stop,No info,4649,315,1,Tuesday,Yes
Air India,18/05/2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,6245,150,0,Wednesday,Yes
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,7:00,13:15,6h 15m,1 stop,No info,19225,375,1,Thursday,Yes
Jet Airways,3/6/2019,Delhi,Cochin,DEL ? BOM ? COK,7:05,19:00,11h 55m,1 stop,No info,14924,715,1,Friday,Yes
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,7:05,18:10,11h 5m,1 stop,No info,9646,665,1,Saturday,Yes
Air India,15/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,6:45,15:15,8h 30m,1 stop,No info,8714,510,1,Sunday,Yes
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,5/19/2019 19:00,22h 5m,1 stop,In-flight meal included,12373,1325,1,Monday,Yes
Air Asia,6/5/2019,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,3383,165,0,Tuesday,Yes
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,9:00,21:00,12h,1 stop,No info,13062,720,1,Wednesday,Yes
SpiceJet,24/03/2019,Banglore,New Delhi,BLR ? DEL,5:45,8:35,2h 50m,non-stop,No check-in baggage included,3527,170,0,Thursday,Yes
IndiGo,27/05/2019,Banglore,Delhi,BLR ? DEL,4:00,6:50,2h 50m,non-stop,No info,3943,170,0,Friday,Yes
Air India,3/5/2019,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4667,135,0,Saturday,Yes
Air India,15/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,5/16/2019 11:05,16h 5m,1 stop,No info,6117,965,1,Sunday,Yes
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,6/28/2019 19:00,19h 55m,2 stops,In-flight meal included,11150,1195,2,Monday,Yes
Jet Airways,9/3/2019,Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,non-stop,In-flight meal included,7202,195,0,Tuesday,Yes
Jet Airways,1/5/2019,Kolkata,Banglore,CCU ? DEL ? BLR,9:35,5/2/2019 10:55,25h 20m,1 stop,No info,12121,1520,1,Wednesday,Yes
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,22:20,3/28/2019 1:10,2h 50m,non-stop,No info,4377,170,0,Thursday,Yes
IndiGo,18/06/2019,Banglore,Delhi,BLR ? DEL,21:15,6/19/2019 0:15,3h,non-stop,No info,3943,180,0,Friday,Yes
Air Asia,3/4/2019,Banglore,Delhi,BLR ? DEL,23:55,4/4/2019 2:45,2h 50m,non-stop,No info,4483,170,0,Saturday,Yes
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,3/25/2019 12:00,16h 15m,1 stop,No info,14231,975,1,Sunday,Yes
Air India,1/3/2019,Banglore,New Delhi,BLR ? BOM ? AMD ? DEL,8:50,23:55,15h 5m,2 stops,No info,17345,905,2,Monday,Yes
Vistara,6/3/2019,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,non-stop,No info,7414,135,0,Tuesday,Yes
Multiple carriers,6/5/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,5/7/2019 1:30,6h 30m,1 stop,No info,8073,390,1,Wednesday,Yes
Vistara,6/3/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,15:40,3/7/2019 16:45,25h 5m,1 stop,No info,12395,1505,1,Thursday,Yes
Air India,6/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,9:25,21:50,12h 25m,1 stop,No info,8366,745,1,Friday,Yes
Air India,3/4/2019,Delhi,Cochin,DEL ? MAA ? COK,6:05,4/4/2019 9:25,27h 20m,1 stop,No info,5117,1640,1,Saturday,Yes
Multiple carriers,3/6/2019,Delhi,Cochin,DEL ? BOM ? COK,8:45,19:00,10h 15m,1 stop,No info,12524,615,1,Sunday,Yes
IndiGo,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,5/16/2019 1:30,10h 30m,1 stop,No info,7191,630,1,Monday,Yes
Vistara,24/05/2019,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,non-stop,No info,3687,135,0,Tuesday,Yes
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,5894,625,1,Wednesday,Yes
Vistara,24/04/2019,Banglore,Delhi,BLR ? DEL,9:45,12:35,2h 50m,non-stop,No info,5403,170,0,Thursday,Yes
Air India,6/5/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,3625,90,0,Friday,Yes
Air India,21/05/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,5:55,19:15,13h 20m,2 stops,No info,10861,800,2,Saturday,Yes
IndiGo,12/3/2019,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,non-stop,No info,6297,135,0,Sunday,Yes
Jet Airways,1/6/2019,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,non-stop,No info,5678,85,0,Monday,Yes
Jet Airways,9/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,5:45,3/13/2019 8:15,26h 30m,1 stop,In-flight meal included,9134,1590,1,Tuesday,Yes
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:00,7h 20m,1 stop,In-flight meal included,10791,440,1,Wednesday,Yes
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,6/25/2019 12:35,13h 30m,2 stops,In-flight meal included,12819,810,2,Thursday,Yes
IndiGo,21/03/2019,Delhi,Cochin,DEL ? BLR ? COK,5:05,10:05,5h,1 stop,In-flight meal included,6893,300,1,Friday,Yes
Vistara,9/3/2019,Banglore,New Delhi,BLR ? DEL,9:50,12:35,2h 45m,non-stop,In-flight meal included,7240,165,0,Saturday,Yes
GoAir,3/4/2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,3898,170,0,Sunday,Yes
IndiGo,3/4/2019,Mumbai,Hyderabad,BOM ? HYD,6:25,7:55,1h 30m,non-stop,No info,4049,90,0,Monday,Yes
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,6/16/2019 12:35,19h 5m,1 stop,In-flight meal included,10262,1145,1,Tuesday,Yes
SpiceJet,21/03/2019,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,non-stop,No check-in baggage included,3332,135,0,Wednesday,Yes
Jet Airways,9/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,6/10/2019 12:00,14h 50m,1 stop,In-flight meal included,10844,890,1,Thursday,Yes
Jet Airways,24/03/2019,Banglore,New Delhi,BLR ? DEL,19:55,22:35,2h 40m,non-stop,In-flight meal included,7229,160,0,Friday,Yes
Jet Airways,6/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,6:30,5/7/2019 4:40,22h 10m,1 stop,In-flight meal included,13941,1330,1,Saturday,Yes
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,21:00,9h 35m,1 stop,In-flight meal included,5894,575,1,Sunday,Yes
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,9:00,19:00,10h,1 stop,No info,10197,600,1,Monday,Yes
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,3/7/2019 11:25,21h 20m,1 stop,In-flight meal included,13712,1280,1,Tuesday,Yes
IndiGo,24/06/2019,Delhi,Cochin,DEL ? MAA ? COK,2:00,7:25,5h 25m,1 stop,In-flight meal included,5636,325,1,Wednesday,Yes
Jet Airways,6/6/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,9:40,6/7/2019 4:25,18h 45m,2 stops,In-flight meal included,13014,1125,2,Thursday,Yes
Jet Airways,1/4/2019,Kolkata,Banglore,CCU ? BOM ? BLR,8:25,20:45,12h 20m,1 stop,In-flight meal included,7064,740,1,Friday,Yes
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,5/25/2019 14:25,18h,1 stop,In-flight meal included,10703,1080,1,Saturday,Yes
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,9646,555,1,Sunday,Yes
Multiple carriers,6/3/2019,Delhi,Cochin,DEL ? BOM ? COK,2:15,13:20,11h 5m,1 stop,No info,17057,665,1,Monday,Yes
Jet Airways,12/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,3/13/2019 10:25,17h 30m,1 stop,No info,13817,1050,1,Tuesday,Yes
Air India,6/3/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,5:55,19:15,13h 20m,2 stops,No info,13748,800,2,Wednesday,Yes
Air India,21/04/2019,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4880,155,0,Thursday,Yes
IndiGo,21/06/2019,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,non-stop,No info,3540,145,0,Friday,Yes
SpiceJet,15/05/2019,Banglore,Delhi,BLR ? DEL,5:55,8:35,2h 40m,non-stop,No check-in baggage included,3257,160,0,Saturday,Yes
Jet Airways,3/6/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,In-flight meal included,6478,180,0,Sunday,Yes
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,non-stop,No info,8040,85,0,Monday,Yes
Jet Airways,12/6/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,6/13/2019 12:35,16h 35m,2 stops,No info,14300,995,2,Tuesday,Yes
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,8:25,20:45,12h 20m,1 stop,No info,14781,740,1,Wednesday,Yes
Jet Airways,9/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,6/10/2019 8:15,12h 15m,1 stop,No info,14939,735,1,Thursday,Yes
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,6/25/2019 4:25,7h 30m,1 stop,In-flight meal included,10262,450,1,Friday,Yes
Air India,12/5/2019,Kolkata,Banglore,CCU ? MAA ? BLR,14:35,5/13/2019 14:35,24h,1 stop,No info,6528,1440,1,Saturday,Yes
Air India,1/5/2019,Banglore,Delhi,BLR ? DEL,6:10,8:55,2h 45m,non-stop,No info,6121,165,0,Sunday,Yes
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,5/19/2019 4:25,8h 55m,2 stops,In-flight meal included,13029,535,2,Monday,Yes
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,18:50,7h 10m,1 stop,No info,11421,430,1,Tuesday,Yes
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,4:45,19:15,14h 30m,1 stop,No info,7574,870,1,Wednesday,Yes
Air India,9/5/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,5/10/2019 19:15,30h 20m,2 stops,No info,11596,1820,2,Thursday,Yes
Jet Airways,24/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,5/25/2019 19:00,19h 55m,2 stops,No info,15129,1195,2,Friday,Yes
Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,3/16/2019 5:05,15h,1 stop,No info,13555,900,1,Saturday,Yes
IndiGo,12/4/2019,Banglore,Delhi,BLR ? DEL,18:55,21:50,2h 55m,non-stop,No info,5780,175,0,Sunday,Yes
Vistara,12/5/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,5/13/2019 9:05,12h 45m,1 stop,No info,9397,765,1,Monday,Yes
Jet Airways,6/3/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,3/7/2019 4:25,10h 10m,1 stop,No info,17024,610,1,Tuesday,Yes
GoAir,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,7:00,12:55,5h 55m,1 stop,No info,5281,355,1,Wednesday,Yes
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,7:05,22:30,15h 25m,1 stop,No info,10348,925,1,Thursday,Yes
Air India,6/3/2019,Delhi,Cochin,DEL ? MAA ? COK,17:20,3/7/2019 9:25,16h 5m,1 stop,No info,12677,965,1,Friday,Yes
Multiple carriers,3/3/2019,Delhi,Cochin,DEL ? BOM ? COK,15:25,3/4/2019 1:35,10h 10m,1 stop,No info,15147,610,1,Saturday,Yes
Vistara,12/6/2019,Banglore,Delhi,BLR ? DEL,7:00,9:40,2h 40m,non-stop,No info,4668,160,0,Sunday,Yes
Jet Airways,9/5/2019,Delhi,Cochin,DEL ? BOM ? COK,7:05,19:00,11h 55m,1 stop,No info,15554,715,1,Monday,Yes
SpiceJet,9/4/2019,Banglore,Delhi,BLR ? DEL,5:55,8:35,2h 40m,non-stop,No info,3971,160,0,Tuesday,Yes
Air India,3/5/2019,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,1h 25m,non-stop,No info,3100,85,0,Wednesday,Yes
Jet Airways,6/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,5/7/2019 10:05,14h 5m,1 stop,In-flight meal included,9663,845,1,Thursday,Yes
Air India,1/3/2019,Delhi,Cochin,DEL ? BOM ? COK,23:00,3/2/2019 19:15,20h 15m,1 stop,No info,27430,1215,1,Friday,Yes
IndiGo,12/5/2019,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,non-stop,No info,3540,145,0,Saturday,Yes
Air India,21/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,5/22/2019 11:10,23h 10m,2 stops,No info,10676,1390,2,Sunday,Yes
Jet Airways,12/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,6/13/2019 8:15,18h 10m,1 stop,No info,13044,1090,1,Monday,Yes
Jet Airways,6/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,5/7/2019 12:00,16h,1 stop,No info,14388,960,1,Tuesday,Yes
IndiGo,24/06/2019,Banglore,Delhi,BLR ? DEL,4:00,6:50,2h 50m,non-stop,No info,3943,170,0,Wednesday,Yes
IndiGo,3/6/2019,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,non-stop,No info,3597,140,0,Thursday,Yes
Air India,21/03/2019,Banglore,New Delhi,BLR ? MAA ? DEL,11:50,19:50,8h,1 stop,No info,5932,480,1,Friday,Yes
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,6/16/2019 4:25,16h 55m,1 stop,In-flight meal included,10262,1015,1,Saturday,Yes
Vistara,12/5/2019,Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,non-stop,No info,6216,190,0,Sunday,Yes
IndiGo,15/06/2019,Kolkata,Banglore,CCU ? BLR,20:25,23:10,2h 45m,non-stop,No info,4804,165,0,Monday,Yes
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,5/22/2019 1:30,14h,1 stop,No info,14067,840,1,Tuesday,Yes
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,5/19/2019 19:00,23h 50m,2 stops,No info,15129,1430,2,Wednesday,Yes
Jet Airways,6/6/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,6:45,6/7/2019 4:25,21h 40m,2 stops,No info,13376,1300,2,Thursday,Yes
Air India,27/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,6/28/2019 19:15,21h 15m,2 stops,No info,10441,1275,2,Friday,Yes
Jet Airways,24/05/2019,Banglore,Delhi,BLR ? DEL,6:00,8:45,2h 45m,non-stop,In-flight meal included,4030,165,0,Saturday,Yes
Jet Airways,3/3/2019,Delhi,Cochin,DEL ? BOM ? COK,8:00,18:50,10h 50m,1 stop,No info,17024,650,1,Sunday,Yes
Multiple carriers,9/4/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,4/10/2019 1:30,8h,1 stop,No info,13017,480,1,Monday,Yes
GoAir,6/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,23:30,6/7/2019 7:45,8h 15m,1 stop,No info,6686,495,1,Tuesday,Yes
IndiGo,15/06/2019,Delhi,Cochin,DEL ? MAA ? COK,2:00,7:25,5h 25m,1 stop,No info,5636,325,1,Wednesday,Yes
IndiGo,9/6/2019,Delhi,Cochin,DEL ? HYD ? COK,7:35,16:10,8h 35m,1 stop,No info,6442,515,1,Thursday,Yes
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:05,5/22/2019 0:55,11h 50m,1 stop,No info,9486,710,1,Friday,Yes
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,5/22/2019 23:35,27h 35m,1 stop,In-flight meal included,10844,1655,1,Saturday,Yes
Jet Airways,3/6/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,6/4/2019 4:25,8h 25m,2 stops,In-flight meal included,15318,505,2,Sunday,Yes
Air India,3/4/2019,Delhi,Cochin,DEL ? MAA ? COK,12:30,4/4/2019 9:25,20h 55m,1 stop,No info,5117,1255,1,Monday,Yes
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BLR ? COK,15:10,20:00,4h 50m,1 stop,No info,6147,290,1,Tuesday,Yes
Multiple carriers,9/6/2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,8h 10m,1 stop,No info,7005,490,1,Wednesday,Yes
SpiceJet,3/4/2019,Kolkata,Banglore,CCU ? BLR,22:20,4/4/2019 0:40,2h 20m,non-stop,No info,3873,140,0,Thursday,Yes
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,3/22/2019 18:50,24h 25m,2 stops,In-flight meal included,9270,1465,2,Friday,Yes
GoAir,27/06/2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,3898,170,0,Saturday,Yes
Jet Airways,12/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,8:25,20:45,12h 20m,1 stop,No info,14781,740,1,Sunday,Yes
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,5/25/2019 8:15,12h 15m,1 stop,In-flight meal included,8586,735,1,Monday,Yes
Air India,9/5/2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,8:20,5/10/2019 7:55,23h 35m,2 stops,No info,10697,1415,2,Tuesday,Yes
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,6/28/2019 12:35,16h 35m,2 stops,No info,14300,995,2,Wednesday,Yes
IndiGo,3/3/2019,Banglore,New Delhi,BLR ? DEL,18:55,21:45,2h 50m,non-stop,No info,8855,170,0,Thursday,Yes
Jet Airways,12/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,5/13/2019 18:15,25h 45m,1 stop,In-flight meal included,10844,1545,1,Friday,Yes
Jet Airways,6/3/2019,Delhi,Cochin,DEL ? BOM ? COK,2:15,3/7/2019 4:25,26h 10m,1 stop,In-flight meal included,17024,1570,1,Saturday,Yes
Jet Airways,1/5/2019,Kolkata,Banglore,CCU ? DEL ? BLR,9:35,5/2/2019 14:25,28h 50m,1 stop,In-flight meal included,9314,1730,1,Sunday,Yes
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,0:40,3:25,2h 45m,non-stop,No info,4777,165,0,Monday,Yes
Air India,9/6/2019,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,6/10/2019 13:15,25h 15m,1 stop,No info,7662,1515,1,Tuesday,Yes
IndiGo,9/5/2019,Delhi,Cochin,DEL ? HYD ? COK,6:50,16:10,9h 20m,1 stop,No info,6442,560,1,Wednesday,Yes
SpiceJet,12/6/2019,Delhi,Cochin,DEL ? PNQ ? COK,8:45,13:15,4h 30m,1 stop,No info,5264,270,1,Thursday,Yes
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,5/28/2019 4:25,15h 25m,1 stop,In-flight meal included,12898,925,1,Friday,Yes
Air India,3/3/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,6092,90,0,Saturday,Yes
SpiceJet,21/05/2019,Banglore,Delhi,BLR ? DEL,5:55,8:35,2h 40m,non-stop,No info,3311,160,0,Sunday,Yes
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,3/28/2019 4:25,9h 10m,1 stop,In-flight meal included,6540,550,1,Monday,Yes
IndiGo,27/05/2019,Banglore,Delhi,BLR ? DEL,1:30,4:15,2h 45m,non-stop,No info,3419,165,0,Tuesday,Yes
Jet Airways,3/4/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,4/4/2019 12:35,22h 35m,1 stop,In-flight meal included,5177,1355,1,Wednesday,Yes
Air India,18/04/2019,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,8246,185,0,Thursday,Yes
Jet Airways,9/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,9:35,21:05,11h 30m,1 stop,No info,14676,690,1,Friday,Yes
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,21:00,9h 30m,1 stop,No info,13587,570,1,Saturday,Yes
Jet Airways,6/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,5/7/2019 9:20,12h 10m,1 stop,In-flight meal included,9663,730,1,Sunday,Yes
